,Time,H1,H2,T1,T2
0,0,0.0,0.0,19.29,18.32
1,1,0.0,0.0,19.29,18.32
2,2,0.0,0.0,19.16,18.32
3,3,0.0,0.0,19.16,18.32
4,4,0.0,0.0,19.25,18.32
5,5,0.0,0.0,19.25,18.32
6,6,0.0,0.0,19.16,18.32
7,7,0.0,0.0,19.09,18.32
8,8,0.0,0.0,19.16,18.29
9,9,0.0,0.0,19.13,18.32
10,10,80.0,0.0,19.22,18.32
11,11,80.0,0.0,19.19,18.32
12,12,80.0,0.0,19.19,18.35
13,13,80.0,0.0,19.09,18.32
14,14,80.0,0.0,19.16,18.32
15,15,80.0,0.0,19.29,18.32
16,16,80.0,0.0,19.29,18.35
17,17,80.0,0.0,19.29,18.32
18,18,80.0,0.0,19.35,18.32
19,19,80.0,0.0,19.45,18.32
20,20,80.0,0.0,19.61,18.32
21,21,80.0,0.0,19.61,18.32
22,22,80.0,0.0,19.8,18.32
23,23,80.0,0.0,19.96,18.32
24,24,80.0,0.0,19.93,18.32
25,25,80.0,0.0,20.22,18.35
26,26,80.0,0.0,20.25,18.32
27,27,80.0,0.0,20.48,18.32
28,28,80.0,0.0,20.58,18.32
29,29,80.0,0.0,20.87,18.32
30,30,80.0,0.0,20.9,18.35
31,31,80.0,0.0,21.16,18.32
32,32,80.0,0.0,21.22,18.32
33,33,80.0,0.0,21.35,18.32
34,34,80.0,0.0,21.54,18.32
35,35,80.0,0.0,21.8,18.32
36,36,80.0,0.0,21.87,18.32
37,37,80.0,0.0,22.03,18.32
38,38,80.0,0.0,22.19,18.32
39,39,80.0,0.0,22.41,18.32
40,40,80.0,0.0,22.54,18.32
41,41,80.0,0.0,22.74,18.32
42,42,80.0,0.0,22.83,18.32
43,43,80.0,0.0,23.09,18.32
44,44,80.0,0.0,23.15,18.32
45,45,80.0,0.0,23.48,18.32
46,46,80.0,0.0,23.51,18.32
47,47,80.0,0.0,23.8,18.32
48,48,80.0,0.0,23.99,18.32
49,49,80.0,0.0,24.12,18.38
50,50,80.0,0.0,24.35,18.35
51,51,80.0,0.0,24.44,18.32
52,52,80.0,0.0,24.7,18.35
53,53,80.0,0.0,24.8,18.35
54,54,80.0,0.0,25.09,18.38
55,55,80.0,0.0,25.22,18.32
56,56,80.0,0.0,25.38,18.45
57,57,80.0,0.0,25.54,18.48
58,58,80.0,0.0,25.73,18.45
59,59,80.0,0.0,25.99,18.51
60,60,80.0,0.0,26.05,18.45
61,61,80.0,0.0,26.28,18.55
62,62,80.0,0.0,26.38,18.48
63,63,80.0,0.0,26.63,18.51
64,64,80.0,0.0,26.73,18.64
65,65,80.0,0.0,26.96,18.55
66,66,80.0,0.0,27.02,18.61
67,67,80.0,0.0,27.34,18.58
68,68,80.0,0.0,27.34,18.61
69,69,80.0,0.0,27.54,18.61
70,70,80.0,0.0,27.67,18.64
71,71,80.0,0.0,27.96,18.64
72,72,80.0,0.0,27.99,18.64
73,73,80.0,0.0,28.25,18.64
74,74,80.0,0.0,28.31,18.64
75,75,80.0,0.0,28.57,18.64
76,76,80.0,0.0,28.63,18.71
77,77,80.0,0.0,28.86,18.67
78,78,80.0,0.0,28.96,18.64
79,79,80.0,0.0,29.25,18.8
80,80,80.0,0.0,29.28,18.77
81,81,80.0,0.0,29.41,18.77
82,82,80.0,0.0,29.6,18.8
83,83,80.0,0.0,29.83,18.9
84,84,80.0,0.0,29.92,18.96
85,85,80.0,0.0,30.12,18.96
86,86,80.0,0.0,30.24,18.96
87,87,80.0,0.0,30.37,18.93
88,88,80.0,0.0,30.57,18.96
89,89,80.0,0.0,30.7,18.96
90,90,80.0,0.0,30.86,18.96
91,91,80.0,0.0,30.92,18.96
92,92,80.0,0.0,31.21,18.96
93,93,80.0,0.0,31.31,18.96
94,94,80.0,0.0,31.44,19.03
95,95,80.0,0.0,31.6,19.13
96,96,80.0,0.0,31.66,19.13
97,97,80.0,0.0,31.86,19.19
98,98,80.0,0.0,31.98,19.19
99,99,80.0,0.0,32.21,19.16
100,100,80.0,0.0,32.34,19.19
101,101,80.0,0.0,32.5,19.19
102,102,80.0,0.0,32.53,19.25
103,103,80.0,0.0,32.79,19.25
104,104,80.0,0.0,32.82,19.29
105,105,80.0,0.0,32.95,19.29
106,106,80.0,0.0,33.14,19.29
107,107,80.0,0.0,33.18,19.32
108,108,80.0,0.0,33.47,19.35
109,109,80.0,0.0,33.47,19.32
110,110,80.0,0.0,33.69,19.32
111,111,80.0,0.0,33.79,19.42
112,112,80.0,0.0,33.89,19.54
113,113,80.0,0.0,34.08,19.42
114,114,80.0,0.0,34.11,19.58
115,115,80.0,0.0,34.24,19.58
116,116,80.0,0.0,34.43,19.58
117,117,80.0,0.0,34.56,19.61
118,118,80.0,0.0,34.72,19.61
119,119,80.0,0.0,34.76,19.61
120,120,80.0,100.0,34.98,19.8
121,121,80.0,100.0,35.08,20.19
122,122,80.0,100.0,35.14,20.06
123,123,80.0,100.0,35.3,20.09
124,124,80.0,100.0,35.4,20.32
125,125,80.0,100.0,35.59,20.29
126,126,80.0,100.0,35.63,20.19
127,127,80.0,100.0,35.72,20.35
128,128,80.0,100.0,35.82,20.38
129,129,80.0,100.0,36.01,20.48
130,130,80.0,100.0,36.04,20.32
131,131,80.0,100.0,36.04,20.38
132,132,80.0,100.0,36.24,20.74
133,133,80.0,100.0,36.33,20.77
134,134,80.0,100.0,36.37,20.67
135,135,80.0,100.0,36.5,20.87
136,136,80.0,100.0,36.59,20.87
137,137,80.0,100.0,36.66,21.06
138,138,80.0,100.0,36.72,21.19
139,139,80.0,100.0,36.75,21.06
140,140,80.0,100.0,36.92,21.32
141,141,80.0,100.0,37.01,21.25
142,142,80.0,100.0,37.01,21.29
143,143,80.0,100.0,37.08,21.41
144,144,80.0,100.0,37.14,21.54
145,145,80.0,100.0,37.21,21.61
146,146,80.0,100.0,37.33,21.74
147,147,80.0,100.0,37.33,21.7
148,148,80.0,100.0,37.33,22.03
149,149,80.0,100.0,37.43,22.22
150,150,80.0,100.0,37.56,21.99
151,151,80.0,100.0,37.62,22.25
152,152,80.0,100.0,37.59,22.32
153,153,80.0,100.0,37.66,22.51
154,154,80.0,100.0,37.66,22.45
155,155,80.0,100.0,37.75,22.67
156,156,80.0,100.0,37.88,22.77
157,157,80.0,100.0,37.95,22.7
158,158,80.0,100.0,37.88,22.77
159,159,80.0,100.0,37.98,23.06
160,160,80.0,100.0,37.98,23.12
161,161,80.0,100.0,38.11,22.96
162,162,80.0,100.0,38.17,23.09
163,163,80.0,100.0,38.2,23.25
164,164,80.0,100.0,38.24,23.38
165,165,80.0,100.0,38.3,23.32
166,166,80.0,100.0,38.3,23.64
167,167,80.0,100.0,38.33,23.77
168,168,80.0,100.0,38.33,23.9
169,169,80.0,100.0,38.49,23.93
170,170,80.0,100.0,38.56,23.8
171,171,80.0,100.0,38.59,23.99
172,172,80.0,100.0,38.66,23.99
173,173,80.0,100.0,38.62,24.22
174,174,80.0,100.0,38.66,24.28
175,175,80.0,100.0,38.82,24.41
176,176,80.0,100.0,38.85,24.35
177,177,80.0,100.0,38.85,24.41
178,178,80.0,100.0,38.95,24.41
179,179,80.0,100.0,38.95,24.73
180,180,80.0,100.0,39.01,24.8
181,181,80.0,100.0,39.04,24.96
182,182,80.0,100.0,39.07,25.06
183,183,80.0,100.0,39.17,25.15
184,184,80.0,100.0,39.24,25.25
185,185,80.0,100.0,39.27,25.09
186,186,80.0,100.0,39.27,25.25
187,187,80.0,100.0,39.43,25.51
188,188,80.0,100.0,39.4,25.6
189,189,80.0,100.0,39.49,25.44
190,190,80.0,100.0,39.53,25.54
191,191,80.0,100.0,39.59,25.6
192,192,80.0,100.0,39.62,25.67
193,193,80.0,100.0,39.59,25.96
194,194,80.0,100.0,39.65,25.99
195,195,80.0,100.0,39.65,26.12
196,196,80.0,100.0,39.78,26.22
197,197,80.0,100.0,39.85,26.15
198,198,80.0,100.0,39.88,26.34
199,199,80.0,100.0,39.91,26.47
200,200,20.0,100.0,39.91,26.54
201,201,20.0,100.0,39.91,26.44
202,202,20.0,100.0,39.91,26.63
203,203,20.0,100.0,39.94,26.7
204,204,20.0,100.0,39.94,26.73
205,205,20.0,100.0,39.94,26.57
206,206,20.0,100.0,39.94,26.96
207,207,20.0,100.0,39.94,26.96
208,208,20.0,100.0,39.94,27.05
209,209,20.0,100.0,39.94,26.92
210,210,20.0,100.0,39.98,27.21
211,211,20.0,100.0,39.91,27.5
212,212,20.0,100.0,39.91,27.5
213,213,20.0,100.0,39.91,27.34
214,214,20.0,100.0,39.91,27.86
215,215,20.0,100.0,39.91,27.92
216,216,20.0,100.0,39.91,27.76
217,217,20.0,100.0,39.91,27.83
218,218,20.0,100.0,39.82,28.18
219,219,20.0,100.0,39.69,27.92
220,220,20.0,100.0,39.65,28.28
221,221,20.0,100.0,39.62,28.37
222,222,20.0,100.0,39.59,28.6
223,223,20.0,100.0,39.59,28.41
224,224,20.0,100.0,39.53,28.83
225,225,20.0,100.0,39.56,28.76
226,226,20.0,100.0,39.36,28.86
227,227,20.0,100.0,39.4,28.99
228,228,20.0,100.0,39.27,29.28
229,229,20.0,100.0,39.3,29.25
230,230,20.0,100.0,39.27,29.44
231,231,20.0,100.0,39.24,29.5
232,232,20.0,100.0,39.2,29.63
233,233,20.0,100.0,39.01,29.7
234,234,20.0,100.0,38.98,29.63
235,235,20.0,100.0,38.95,29.79
236,236,20.0,100.0,38.95,30.12
237,237,20.0,100.0,38.88,30.18
238,238,20.0,100.0,38.72,30.34
239,239,20.0,100.0,38.66,30.21
240,240,20.0,100.0,38.62,30.28
241,241,20.0,100.0,38.62,30.37
242,242,20.0,100.0,38.62,30.5
243,243,20.0,100.0,38.46,30.76
244,244,20.0,100.0,38.33,30.6
245,245,20.0,100.0,38.33,30.79
246,246,20.0,100.0,38.3,30.99
247,247,20.0,100.0,38.3,31.08
248,248,20.0,100.0,38.27,31.08
249,249,20.0,100.0,38.04,31.08
250,250,20.0,100.0,38.01,31.15
251,251,20.0,100.0,38.01,31.34
252,252,20.0,100.0,37.98,31.5
253,253,20.0,100.0,37.98,31.82
254,254,20.0,100.0,37.82,31.89
255,255,20.0,100.0,37.72,31.79
256,256,20.0,100.0,37.66,32.05
257,257,20.0,100.0,37.66,32.15
258,258,20.0,100.0,37.66,32.15
259,259,20.0,100.0,37.66,32.34
260,260,20.0,100.0,37.66,32.18
261,261,20.0,100.0,37.46,32.37
262,262,20.0,100.0,37.37,32.53
263,263,20.0,100.0,37.37,32.37
264,264,20.0,100.0,37.33,32.56
265,265,20.0,100.0,37.27,32.76
266,266,20.0,100.0,37.17,32.98
267,267,20.0,100.0,37.01,32.85
268,268,20.0,100.0,37.04,32.85
269,269,20.0,100.0,37.01,33.18
270,270,20.0,100.0,37.01,33.21
271,271,20.0,100.0,36.95,33.34
272,272,20.0,100.0,36.82,33.34
273,273,20.0,100.0,36.72,33.56
274,274,20.0,100.0,36.72,33.34
275,275,20.0,100.0,36.69,33.69
276,276,20.0,100.0,36.69,33.53
277,277,20.0,100.0,36.69,33.82
278,278,20.0,100.0,36.53,33.76
279,279,20.0,100.0,36.46,33.79
280,280,70.0,100.0,36.53,33.76
281,281,70.0,100.0,36.37,34.21
282,282,70.0,100.0,36.37,34.08
283,283,70.0,100.0,36.37,34.24
284,284,70.0,100.0,36.33,34.21
285,285,70.0,100.0,36.21,34.18
286,286,70.0,100.0,36.21,34.5
287,287,70.0,100.0,36.21,34.56
288,288,70.0,100.0,36.21,34.47
289,289,70.0,100.0,36.17,34.59
290,290,70.0,100.0,36.24,34.63
291,291,70.0,100.0,36.17,34.76
292,292,70.0,100.0,36.21,34.82
293,293,70.0,100.0,36.24,34.82
294,294,70.0,100.0,36.27,35.05
295,295,70.0,100.0,36.27,35.08
296,296,70.0,100.0,36.27,34.82
297,297,70.0,100.0,36.37,34.79
298,298,70.0,100.0,36.37,34.95
299,299,70.0,100.0,36.37,34.95
300,300,70.0,100.0,36.37,35.08
301,301,70.0,100.0,36.4,35.24
302,302,70.0,100.0,36.4,35.11
303,303,70.0,100.0,36.4,35.24
304,304,70.0,100.0,36.5,35.11
305,305,70.0,100.0,36.43,35.14
306,306,70.0,100.0,36.56,35.4
307,307,70.0,100.0,36.66,35.34
308,308,70.0,100.0,36.69,35.27
309,309,70.0,100.0,36.75,35.3
310,310,70.0,100.0,36.72,35.3
311,311,70.0,100.0,36.79,35.56
312,312,70.0,100.0,36.75,35.43
313,313,70.0,100.0,36.85,35.66
314,314,70.0,100.0,37.01,35.27
315,315,70.0,100.0,36.98,35.43
316,316,70.0,100.0,36.98,35.34
317,317,70.0,100.0,37.01,35.5
318,318,70.0,100.0,37.01,35.5
319,319,70.0,100.0,37.01,35.59
320,320,70.0,10.0,37.04,35.21
321,321,70.0,10.0,37.08,35.27
322,322,70.0,10.0,37.17,35.34
323,323,70.0,10.0,37.17,35.3
324,324,70.0,10.0,37.33,35.34
325,325,70.0,10.0,37.33,35.24
326,326,70.0,10.0,37.33,35.24
327,327,70.0,10.0,37.33,35.37
328,328,70.0,10.0,37.43,35.21
329,329,70.0,10.0,37.56,35.4
330,330,70.0,10.0,37.59,35.21
331,331,70.0,10.0,37.59,35.24
332,332,70.0,10.0,37.66,35.08
333,333,70.0,10.0,37.66,35.08
334,334,70.0,10.0,37.69,35.11
335,335,70.0,10.0,37.82,35.21
336,336,70.0,10.0,37.95,35.17
337,337,70.0,10.0,37.98,35.14
338,338,70.0,10.0,37.98,35.01
339,339,70.0,10.0,38.01,34.85
340,340,70.0,10.0,38.11,34.76
341,341,70.0,10.0,38.24,34.76
342,342,70.0,10.0,38.3,34.85
343,343,70.0,10.0,38.33,34.82
344,344,70.0,10.0,38.43,34.76
345,345,70.0,10.0,38.62,34.72
346,346,70.0,10.0,38.59,34.59
347,347,70.0,10.0,38.66,34.69
348,348,70.0,10.0,38.69,34.56
349,349,70.0,10.0,38.88,34.53
350,350,70.0,10.0,38.91,34.47
351,351,70.0,10.0,38.95,34.43
352,352,70.0,10.0,39.01,34.56
353,353,70.0,10.0,39.14,34.5
354,354,70.0,10.0,39.27,34.43
355,355,70.0,10.0,39.27,34.37
356,356,70.0,10.0,39.33,34.47
357,357,70.0,10.0,39.49,34.18
358,358,70.0,10.0,39.59,34.3
359,359,70.0,10.0,39.59,34.24
360,360,70.0,10.0,39.62,34.24
361,361,70.0,10.0,39.65,34.11
362,362,70.0,10.0,39.78,34.14
363,363,70.0,10.0,39.88,33.98
364,364,70.0,10.0,39.91,33.89
365,365,70.0,10.0,39.94,33.92
366,366,70.0,10.0,40.01,33.82
367,367,70.0,10.0,40.17,33.89
368,368,70.0,10.0,40.23,33.79
369,369,70.0,10.0,40.23,33.72
370,370,70.0,10.0,40.4,33.79
371,371,70.0,10.0,40.43,33.76
372,372,70.0,10.0,40.56,33.72
373,373,70.0,10.0,40.56,33.79
374,374,70.0,10.0,40.59,33.66
375,375,70.0,10.0,40.65,33.69
376,376,70.0,10.0,40.78,33.5
377,377,70.0,10.0,40.88,33.47
378,378,70.0,10.0,40.91,33.56
379,379,70.0,10.0,40.91,33.47
380,380,70.0,10.0,41.07,33.43
381,381,70.0,10.0,41.17,33.5
382,382,70.0,10.0,41.2,33.31
383,383,70.0,10.0,41.2,33.4
384,384,70.0,10.0,41.36,33.5
385,385,70.0,10.0,41.36,33.27
386,386,70.0,10.0,41.49,33.21
387,387,70.0,10.0,41.52,33.34
388,388,70.0,10.0,41.56,33.31
389,389,70.0,10.0,41.65,33.27
390,390,70.0,10.0,41.81,33.24
391,391,70.0,10.0,41.85,33.11
392,392,70.0,10.0,41.88,33.08
393,393,70.0,10.0,41.97,33.11
394,394,70.0,10.0,42.14,33.05
395,395,70.0,10.0,42.17,32.89
396,396,70.0,10.0,42.17,32.82
397,397,70.0,10.0,42.23,32.95
398,398,70.0,10.0,42.26,32.82
399,399,70.0,10.0,42.39,32.92
400,400,50.0,10.0,42.46,32.89
401,401,50.0,10.0,42.49,32.73
402,402,50.0,10.0,42.52,32.89
403,403,50.0,10.0,42.55,32.85
404,404,50.0,10.0,42.55,32.82
405,405,50.0,10.0,42.49,32.76
406,406,50.0,10.0,42.75,32.82
407,407,50.0,10.0,42.81,32.66
408,408,50.0,10.0,42.81,32.69
409,409,50.0,10.0,42.81,32.56
410,410,50.0,10.0,42.81,32.69
411,411,50.0,10.0,42.81,32.53
412,412,50.0,10.0,42.81,32.63
413,413,50.0,10.0,42.81,32.6
414,414,50.0,10.0,42.81,32.6
415,415,50.0,10.0,42.81,32.63
416,416,50.0,10.0,42.81,32.5
417,417,50.0,10.0,42.88,32.5
418,418,50.0,10.0,43.01,32.47
419,419,50.0,10.0,42.94,32.5
420,420,50.0,10.0,42.94,32.4
421,421,50.0,10.0,43.07,32.44
422,422,50.0,10.0,43.04,32.44
423,423,50.0,10.0,43.1,32.47
424,424,50.0,10.0,43.1,32.34
425,425,50.0,10.0,43.04,32.37
426,426,50.0,10.0,42.97,32.21
427,427,50.0,10.0,43.1,32.27
428,428,50.0,10.0,43.13,32.18
429,429,50.0,10.0,43.13,32.21
430,430,50.0,10.0,43.04,32.15
431,431,50.0,10.0,43.1,32.27
432,432,50.0,10.0,43.13,32.08
433,433,50.0,10.0,43.13,32.11
434,434,50.0,10.0,43.07,32.15
435,435,50.0,10.0,43.1,32.18
436,436,50.0,10.0,43.13,32.08
437,437,50.0,10.0,43.13,32.02
438,438,50.0,10.0,43.1,32.02
439,439,50.0,10.0,43.07,31.98
440,440,50.0,10.0,43.1,31.86
441,441,50.0,10.0,43.13,31.86
442,442,50.0,10.0,43.13,31.86
443,443,50.0,10.0,43.13,31.95
444,444,50.0,10.0,43.13,31.89
445,445,50.0,10.0,43.07,31.92
446,446,50.0,10.0,43.1,31.79
447,447,50.0,10.0,43.13,31.76
448,448,50.0,10.0,43.1,31.66
449,449,50.0,10.0,43.1,31.66
450,450,50.0,10.0,43.07,31.69
451,451,50.0,10.0,43.1,31.63
452,452,50.0,10.0,43.1,31.57
453,453,50.0,10.0,43.01,31.63
454,454,50.0,10.0,43.01,31.63
455,455,50.0,10.0,42.97,31.63
456,456,50.0,10.0,42.97,31.53
457,457,50.0,10.0,42.97,31.66
458,458,50.0,10.0,43.04,31.53
459,459,50.0,10.0,42.97,31.5
460,460,50.0,10.0,42.88,31.53
461,461,50.0,10.0,42.88,31.57
462,462,50.0,10.0,42.88,31.53
463,463,50.0,10.0,42.88,31.6
464,464,50.0,10.0,42.84,31.53
465,465,50.0,10.0,42.81,31.57
466,466,50.0,10.0,42.81,31.57
467,467,50.0,10.0,42.81,31.4
468,468,50.0,10.0,42.81,31.63
469,469,50.0,10.0,42.81,31.47
470,470,50.0,10.0,42.84,31.47
471,471,50.0,10.0,42.81,31.4
472,472,50.0,10.0,42.81,31.31
473,473,50.0,10.0,42.81,31.24
474,474,50.0,10.0,42.81,31.34
475,475,50.0,10.0,42.81,31.4
476,476,50.0,10.0,42.81,31.28
477,477,50.0,10.0,42.81,31.34
478,478,50.0,10.0,42.84,31.24
479,479,50.0,10.0,42.81,31.21
480,480,50.0,10.0,42.81,31.21
481,481,50.0,10.0,42.81,31.21
482,482,50.0,10.0,42.81,31.24
483,483,50.0,10.0,42.81,31.18
484,484,50.0,10.0,42.81,31.31
485,485,50.0,10.0,42.78,31.18
486,486,50.0,10.0,42.81,31.21
487,487,50.0,10.0,42.81,31.18
488,488,50.0,10.0,42.81,31.15
489,489,50.0,10.0,42.81,31.24
490,490,50.0,10.0,42.81,31.21
491,491,50.0,10.0,42.78,31.08
492,492,50.0,10.0,42.81,31.08
493,493,50.0,10.0,42.81,31.11
494,494,50.0,10.0,42.81,30.99
495,495,50.0,10.0,42.78,30.89
496,496,50.0,10.0,42.72,31.08
497,497,50.0,10.0,42.75,31.02
498,498,50.0,10.0,42.68,31.05
499,499,50.0,10.0,42.68,30.92
500,500,50.0,10.0,42.62,31.02
501,501,50.0,10.0,42.65,30.99
502,502,50.0,10.0,42.62,30.89
503,503,50.0,10.0,42.52,30.95
504,504,50.0,10.0,42.62,30.89
505,505,50.0,10.0,42.59,30.73
506,506,50.0,10.0,42.52,30.99
507,507,50.0,10.0,42.68,30.82
508,508,50.0,10.0,42.59,30.73
509,509,50.0,10.0,42.55,30.63
510,510,50.0,10.0,42.59,30.76
511,511,50.0,10.0,42.52,30.73
512,512,50.0,10.0,42.49,30.57
513,513,50.0,10.0,42.55,30.6
514,514,50.0,10.0,42.55,30.63
515,515,50.0,10.0,42.49,30.73
516,516,50.0,10.0,42.52,30.6
517,517,50.0,10.0,42.49,30.66
518,518,50.0,10.0,42.52,30.66
519,519,50.0,10.0,42.49,30.63
520,520,50.0,80.0,42.49,30.95
521,521,50.0,80.0,42.49,30.89
522,522,50.0,80.0,42.49,30.73
523,523,50.0,80.0,42.46,30.66
524,524,50.0,80.0,42.49,30.99
525,525,50.0,80.0,42.49,30.99
526,526,50.0,80.0,42.49,30.76
527,527,50.0,80.0,42.55,30.99
528,528,50.0,80.0,42.52,31.02
529,529,50.0,80.0,42.52,30.7
530,530,50.0,80.0,42.52,30.89
531,531,50.0,80.0,42.49,30.95
532,532,50.0,80.0,42.49,31.05
533,533,50.0,80.0,42.36,30.82
534,534,50.0,80.0,42.36,30.92
535,535,50.0,80.0,42.3,31.11
536,536,50.0,80.0,42.3,31.11
537,537,50.0,80.0,42.2,31.11
538,538,50.0,80.0,42.3,31.24
539,539,50.0,80.0,42.2,31.24
540,540,50.0,80.0,42.2,31.08
541,541,50.0,80.0,42.23,31.44
542,542,50.0,80.0,42.17,31.47
543,543,50.0,80.0,42.17,31.4
544,544,50.0,80.0,42.17,31.37
545,545,50.0,80.0,42.14,31.4
546,546,50.0,80.0,42.07,31.73
547,547,50.0,80.0,42.1,31.57
548,548,50.0,80.0,42.04,31.73
549,549,50.0,80.0,41.91,31.79
550,550,50.0,80.0,41.88,31.76
551,551,50.0,80.0,41.88,31.57
552,552,50.0,80.0,41.88,31.73
553,553,50.0,80.0,41.85,31.86
554,554,50.0,80.0,41.85,31.82
555,555,50.0,80.0,41.85,31.92
556,556,50.0,80.0,41.85,32.05
557,557,50.0,80.0,41.78,32.21
558,558,50.0,80.0,41.78,32.24
559,559,50.0,80.0,41.75,32.27
560,560,50.0,80.0,41.68,32.11
561,561,50.0,80.0,41.62,32.4
562,562,50.0,80.0,41.62,32.21
563,563,50.0,80.0,41.52,32.31
564,564,50.0,80.0,41.59,32.6
565,565,50.0,80.0,41.52,32.34
566,566,50.0,80.0,41.52,32.53
567,567,50.0,80.0,41.52,32.53
568,568,50.0,80.0,41.52,32.73
569,569,50.0,80.0,41.52,32.79
570,570,50.0,80.0,41.39,32.85
571,571,50.0,80.0,41.39,32.82
572,572,50.0,80.0,41.39,32.85
573,573,50.0,80.0,41.39,32.6
574,574,50.0,80.0,41.3,32.95
575,575,50.0,80.0,41.27,33.05
576,576,50.0,80.0,41.27,33.11
577,577,50.0,80.0,41.27,33.21
578,578,50.0,80.0,41.23,33.34
579,579,50.0,80.0,41.2,33.27
580,580,50.0,80.0,41.2,33.14
581,581,50.0,80.0,41.2,33.18
582,582,50.0,80.0,41.17,33.4
583,583,50.0,80.0,41.2,33.08
584,584,50.0,80.0,41.17,33.47
585,585,50.0,80.0,41.17,33.56
586,586,50.0,80.0,41.1,33.31
587,587,50.0,80.0,41.04,33.34
588,588,50.0,80.0,41.07,33.53
589,589,50.0,80.0,40.98,33.66
590,590,50.0,80.0,41.04,33.6
591,591,50.0,80.0,40.98,33.66
592,592,50.0,80.0,40.98,33.56
593,593,50.0,80.0,40.91,33.72
594,594,50.0,80.0,40.91,33.85
595,595,50.0,80.0,40.91,33.69
596,596,50.0,80.0,40.91,33.92
597,597,50.0,80.0,40.91,33.63
598,598,50.0,80.0,40.88,33.85
599,599,50.0,80.0,40.88,34.01
600,600,50.0,80.0,40.85,33.89
